what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1378428117785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428121794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428133851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378428137352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428140175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428143401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1378428143538
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1378428147338
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1378428147574
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1378428147902
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1378428148162
started,bundle,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms",1378428149039
started,bundle,com.android.ide.eclipse.traceview,22.0.1.v201305230001--685705,"com.android.ide.eclipse.traceview",1378428153655
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1378428153824
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1378428176678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428179380
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378428181436
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378428181572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428181651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1378428181696
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378428182420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428192909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428193095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378428193261
